type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	22186.141342	0_1_1	22.194000	22.186000
SB_Start_Beep	58999.936786	1_6_2	59.008000	58.999500
SB_Start_Beep	96149.730356	6_3_3	96.158000	96.149500
SB_Start_Beep	128709.549432	3_3_4	128.718000	128.709500
SB_Start_Beep	165253.346376	3_6_5	165.262000	165.253000
SB_Start_Beep	198903.159394	6_1_6	198.912000	198.903000
SB_Start_Beep	416787.948696	1_1_7	416.798000	416.787500
SB_Start_Beep	453731.743411	1_3_8	453.742000	453.731500
SB_Start_Beep	486665.560408	3_6_9	486.676000	486.665500
SB_Start_Beep	519945.375489	6_6_10	519.956000	519.945000
SB_Start_Beep	552899.192375	6_3_11	552.910000	552.899000
SB_Start_Beep	585991.008494	3_1_12	586.002000	585.991000
SB_Start_Beep	620338.817641	1_3_13	620.350000	620.338500
SB_Start_Beep	655264.623569	3_6_14	655.276000	655.264500
SB_Start_Beep	694228.407066	6_1_15	694.240000	694.228000
SB_Start_Beep	727050.224686	1_1_16	727.062000	727.050000
SB_Start_Beep	759522.044250	1_6_17	759.534000	759.522000
SB_Start_Beep	794323.850874	6_3_18	794.336000	794.323500
SB_Start_Beep	829473.655557	3_1_19	829.486000	829.473500
SB_Start_Beep	862879.469938	1_3_20	862.892000	862.879000
SB_Start_Beep	899677.265464	3_6_21	899.690000	899.677000
SB_Start_Beep	932315.084106	6_6_22	932.328000	932.315000
SB_Start_Beep	967690.887540	6_3_23	967.704000	967.690500
SB_Start_Beep	1003444.688868	3_1_24	1003.458000	1003.444500
SB_Start_Beep	1036212.506787	1_1_25	1036.226000	1036.212500
SB_Start_Beep	1069074.324191	1_6_26	1069.088000	1069.074000
SB_Start_Beep	1102528.138299	6_3_27	1102.542000	1102.528000
SB_Start_Beep	1138011.941133	3_1_28	1138.026000	1138.011500
SB_Start_Beep	1170823.758808	1_3_29	1170.838000	1170.823500
SB_Start_Beep	1204003.574438	3_6_30	1204.018000	1204.003500
SB_Start_Beep	1237627.387608	6_3_31	1237.642000	1237.627000
SB_Start_Beep	1272313.194869	3_1_32	1272.328000	1272.313000
SB_Start_Beep	1305035.013045	1_6_33	1305.050000	1305.035000
SB_Start_Beep	1339842.819635	6_1_34	1339.858000	1339.842500
SB_Start_Beep	1374206.628686	1_6_35	1374.222000	1374.206500
SB_Start_Beep	1409734.431276	6_3_36	1409.750000	1409.734000
SB_Start_Beep	1444730.236815	3_1_37	1444.746000	1444.730000
SB_Start_Beep	1477414.055201	1_3_38	1477.430000	1477.414000
SB_Start_Beep	1512473.860391	3_6_39	1512.490000	1512.473500
SB_Start_Beep	1548699.659096	6_3_40	1548.716000	1548.699500
SB_Start_Beep	1585649.453784	3_6_41	1585.666000	1585.649000
SB_Start_Beep	1622523.248888	6_1_42	1622.540000	1622.523000
SB_Start_Beep	1658475.049115	1_1_43	1658.492000	1658.475000
SB_Start_Beep	1691210.867219	1_6_44	1691.228000	1691.210500
SB_Start_Beep	1749308.544389	6_3_45	1749.326000	1749.308500
SB_Start_Beep	1787468.332353	3_3_46	1787.486000	1787.468000
SB_Start_Beep	1821308.144316	3_6_47	1821.326000	1821.308000
SB_Start_Beep	1857661.942316	6_1_48	1857.680000	1857.661500
SB_Start_Beep	1896823.724706	1_1_49	1896.842000	1896.823500
SB_Start_Beep	1930665.536658	1_3_50	1930.684000	1930.665500
SB_Start_Beep	1966097.339781	3_6_51	1966.116000	1966.097000
SB_Start_Beep	2111039.538392	6_3_52	2111.000000	2111.039500
SB_Start_Beep	2143735.450264	3_6_53	2143.696000	2143.735000
SB_Start_Beep	2177573.359051	6_1_54	2177.534000	2177.573000
SB_Start_Beep	2211379.267924	1_3_55	2211.340000	2211.379000
SB_Start_Beep	2245101.177024	3_1_56	2245.062000	2245.101000
SB_Start_Beep	2278525.086927	1_6_57	2278.486000	2278.525000
SB_Start_Beep	2311910.996939	6_1_58	2311.872000	2311.910500
SB_Start_Beep	2345856.905434	1_6_59	2345.818000	2345.856500
SB_Start_Beep	2378530.817359	6_3_60	2378.492000	2378.530500
SB_Start_Beep	2413586.722863	3_3_61	2413.548000	2413.586500
SB_Start_Beep	2447680.630960	3_6_62	2447.642000	2447.680500
SB_Start_Beep	2480626.542151	6_1_63	2480.588000	2480.626500
SB_Start_Beep	2513330.454001	1_1_64	2513.292000	2513.330000
SB_Start_Beep	2545880.366260	1_6_65	2545.842000	2545.880000
SB_Start_Beep	2579726.275026	6_3_66	2579.688000	2579.726000
SB_Start_Beep	2614866.180303	3_6_67	2614.828000	2614.866000
SB_Start_Beep	2651370.081904	6_3_68	2651.332000	2651.370000
SB_Start_Beep	2686685.986713	3_1_69	2686.648000	2686.685500
SB_Start_Beep	2721617.892551	1_1_70	2721.580000	2721.617500
SB_Start_Beep	2756829.797634	1_3_71	2756.792000	2756.829500
SB_Start_Beep	2792483.701526	3_6_72	2792.446000	2792.483500
SB_Start_Beep	2826707.609273	6_3_73	2826.670000	2826.707500
SB_Start_Beep	2861795.514690	3_6_74	2861.758000	2861.795500
SB_Start_Beep	2896595.420890	6_1_75	2896.558000	2896.595000
SB_Start_Beep	2932153.325041	1_1_76	2932.116000	2932.153000
SB_Start_Beep	2966907.231359	1_3_77	2966.870000	2966.907000
SB_Start_Beep	3001147.139062	3_6_78	3001.110000	3001.147000
SB_Start_Beep	3038093.039471	6_6_79	3038.056000	3038.093000
SB_Start_Beep	3072860.945758	6_3_80	3072.824000	3072.860500
SB_Start_Beep	3107966.851127	3_1_81	3107.930000	3107.966500
SB_Start_Beep	3141300.761272	1_6_82	3141.264000	3141.300500
