type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	223864.115368	0_6_1	223.732000	223.864000
SB_Start_Beep	265339.943186	6_1_2	265.208000	265.339500
SB_Start_Beep	307805.766887	1_3_3	307.674000	307.805500
SB_Start_Beep	417535.311347	3_1_4	417.404000	417.535000
SB_Start_Beep	456195.150850	1_3_5	456.064000	456.195000
SB_Start_Beep	498590.974848	3_6_6	498.460000	498.590500
SB_Start_Beep	535886.820013	6_6_7	535.756000	535.886500
SB_Start_Beep	575072.657332	6_1_8	574.942000	575.072500
SB_Start_Beep	671942.255180	1_3_9	671.812000	671.942000
SB_Start_Beep	717720.065132	3_3_10	717.590000	717.720000
SB_Start_Beep	757481.900065	3_6_11	757.352000	757.481500
SB_Start_Beep	799683.724863	6_1_12	799.554000	799.683500
SB_Start_Beep	838077.565470	1_1_13	837.948000	838.077500
SB_Start_Beep	875903.408440	1_6_14	875.774000	875.903000
SB_Start_Beep	939195.030864	6_3_15	939.078000	939.195000
SB_Start_Beep	981959.467805	3_3_16	981.842000	981.959000
SB_Start_Beep	1022139.878344	3_6_17	1022.022000	1022.139500
SB_Start_Beep	1060854.273905	6_1_18	1060.736000	1060.854000
SB_Start_Beep	1100628.680296	1_1_19	1100.510000	1100.628500
SB_Start_Beep	1138441.066640	1_3_20	1138.322000	1138.441000
SB_Start_Beep	1177031.460933	3_6_21	1176.912000	1177.031000
SB_Start_Beep	1216097.860090	6_3_22	1215.978000	1216.097500
SB_Start_Beep	1267538.385678	3_1_23	1267.418000	1267.538000
SB_Start_Beep	1305358.772104	1_6_24	1305.238000	1305.358500
SB_Start_Beep	1346455.192003	6_1_25	1346.334000	1346.455000
SB_Start_Beep	1389911.636015	1_3_26	1389.790000	1389.911500
SB_Start_Beep	1430360.049292	3_6_27	1430.238000	1430.360000
SB_Start_Beep	1473174.486744	6_6_28	1473.052000	1473.174000
SB_Start_Beep	1517032.934863	6_1_29	1516.910000	1517.032500
SB_Start_Beep	1559597.369761	1_3_30	1559.474000	1559.597000
SB_Start_Beep	1600641.789128	3_6_31	1600.518000	1600.641500
SB_Start_Beep	1639358.184709	6_3_32	1639.234000	1639.358000
SB_Start_Beep	1680478.604853	3_1_33	1680.354000	1680.478500
SB_Start_Beep	1720583.014616	1_1_34	1720.458000	1720.583000
SB_Start_Beep	1758411.401123	1_3_35	1758.286000	1758.411000
SB_Start_Beep	1798321.808904	3_6_36	1798.196000	1798.321500
SB_Start_Beep	1838368.218074	6_3_37	1838.242000	1838.368000
SB_Start_Beep	1881342.657161	3_1_38	1881.216000	1881.342500
SB_Start_Beep	1922327.075915	1_6_39	1922.200000	1922.327000
SB_Start_Beep	1986937.736068	6_6_40	1986.810000	1986.937500
SB_Start_Beep	2030972.185985	6_3_41	2030.844000	2030.972000
SB_Start_Beep	2070260.587411	3_1_42	2070.132000	2070.260500
SB_Start_Beep	2127757.202063	1_1_43	2127.638000	2127.757000
SB_Start_Beep	2176684.963354	1_6_44	2176.566000	2176.684500
SB_Start_Beep	2214272.779966	6_1_45	2214.154000	2214.272500
SB_Start_Beep	2286332.428398	1_6_46	2286.214000	2286.332000
SB_Start_Beep	2328814.221133	6_3_47	2328.696000	2328.814000
SB_Start_Beep	2366934.035149	3_1_48	2366.816000	2366.934000
SB_Start_Beep	2406125.843941	1_6_49	2406.008000	2406.125500
SB_Start_Beep	2445953.649624	6_3_50	2445.836000	2445.953500
SB_Start_Beep	2484937.459431	3_1_51	2484.820000	2484.937000
SB_Start_Beep	2524531.266256	1_6_52	2524.414000	2524.531000
SB_Start_Beep	2563583.075725	6_3_53	2563.466000	2563.583000
SB_Start_Beep	2604528.875960	3_1_54	2604.412000	2604.528500
SB_Start_Beep	2648636.660761	1_6_55	2648.520000	2648.636500
SB_Start_Beep	2687206.472588	6_3_56	2687.090000	2687.206000
SB_Start_Beep	2726260.282047	3_3_57	2726.144000	2726.260000
SB_Start_Beep	2764154.097166	3_1_58	2764.038000	2764.154000
SB_Start_Beep	2801409.915404	1_6_59	2801.294000	2801.409500
SB_Start_Beep	2841253.721008	6_1_60	2841.138000	2841.253500
SB_Start_Beep	2880487.529589	1_6_61	2880.372000	2880.487500
SB_Start_Beep	2922961.322369	6_3_62	2922.846000	2922.961000
SB_Start_Beep	2964433.120031	3_6_63	2964.318000	2964.433000
SB_Start_Beep	3002782.932932	6_3_64	3002.668000	3002.782500
SB_Start_Beep	3042754.737912	3_1_65	3042.640000	3042.754500
SB_Start_Beep	3080982.551401	1_1_66	3080.868000	3080.982500
SB_Start_Beep	3118756.367112	1_6_67	3118.642000	3118.756000
SB_Start_Beep	3157188.179605	6_3_68	3157.074000	3157.188000
SB_Start_Beep	3196147.989530	3_1_69	3196.034000	3196.147500
SB_Start_Beep	3235397.798033	1_6_70	3235.284000	3235.397500
SB_Start_Beep	3275931.600271	6_3_71	3275.818000	3275.931500
