type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	12590.502801	0_1_1	12.590000	12.590500
SB_Start_Beep	49118.353606	1_6_2	49.118000	49.118000
SB_Start_Beep	81504.221323	6_3_3	81.504000	81.504000
SB_Start_Beep	115798.081247	3_1_4	115.798000	115.798000
SB_Start_Beep	153777.926122	1_6_5	153.778000	153.777500
SB_Start_Beep	186767.791372	6_3_6	186.768000	186.767500
SB_Start_Beep	362261.074560	3_3_7	362.262000	362.261000
SB_Start_Beep	401364.914844	3_1_8	401.366000	401.364500
SB_Start_Beep	444414.739003	1_6_9	444.416000	444.414500
SB_Start_Beep	479178.597007	6_6_10	479.180000	479.178500
SB_Start_Beep	512128.462427	6_3_11	512.130000	512.128000
SB_Start_Beep	544542.330030	3_1_12	544.544000	544.542000
SB_Start_Beep	578736.190362	1_6_13	578.738000	578.736000
SB_Start_Beep	616312.036880	6_1_14	616.314000	616.312000
SB_Start_Beep	650141.898705	1_3_15	650.144000	650.141500
SB_Start_Beep	682849.765107	3_6_16	682.852000	682.849500
SB_Start_Beep	715665.631068	6_3_17	715.668000	715.665500
SB_Start_Beep	753205.477740	3_1_18	753.208000	753.205000
SB_Start_Beep	785471.345947	1_3_19	785.474000	785.471000
SB_Start_Beep	817791.213933	3_6_20	817.794000	817.791000
SB_Start_Beep	851917.074543	6_1_21	851.920000	851.917000
SB_Start_Beep	884448.941671	1_1_22	884.452000	884.448500
SB_Start_Beep	918108.804184	1_3_23	918.112000	918.108500
SB_Start_Beep	952376.664214	3_6_24	952.380000	952.376500
SB_Start_Beep	985776.527789	6_3_25	985.780000	985.776500
SB_Start_Beep	1018826.392801	3_1_26	1018.830000	1018.826000
SB_Start_Beep	1052130.256768	1_6_27	1052.134000	1052.130000
SB_Start_Beep	1087954.110442	6_1_28	1087.958000	1087.954000
SB_Start_Beep	1121263.974392	1_6_29	1121.268000	1121.263500
SB_Start_Beep	1154729.837698	6_3_30	1154.734000	1154.729500
SB_Start_Beep	1187823.702523	3_3_31	1187.828000	1187.823500
SB_Start_Beep	1221637.564407	3_6_32	1221.642000	1221.637500
SB_Start_Beep	1254517.430113	6_1_33	1254.522000	1254.517000
SB_Start_Beep	1288561.291058	1_3_34	1288.566000	1288.561000
SB_Start_Beep	1322439.152681	3_6_35	1322.444000	1322.439000
SB_Start_Beep	1355033.019548	6_1_36	1355.038000	1355.033000
SB_Start_Beep	1388270.883792	1_6_37	1388.276000	1388.270500
SB_Start_Beep	1421712.747195	6_1_38	1421.718000	1421.712500
SB_Start_Beep	1454174.614602	1_3_39	1454.180000	1454.174500
SB_Start_Beep	1486722.481664	3_3_40	1486.728000	1486.722000
SB_Start_Beep	1519274.348703	3_1_41	1519.280000	1519.274000
SB_Start_Beep	1555254.201740	1_6_42	1555.260000	1555.254000
SB_Start_Beep	1587622.069531	6_3_43	1587.628000	1587.622000
SB_Start_Beep	1620151.936666	3_1_44	1620.158000	1620.151500
