type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	34411.099278	0_3_1	34.414000	34.411000
SB_Start_Beep	78446.884532	3_6_2	78.450000	78.446500
SB_Start_Beep	114348.709446	6_1_3	114.352000	114.348500
SB_Start_Beep	153958.516277	1_1_4	153.962000	153.958500
SB_Start_Beep	200964.287046	1_3_5	200.968000	200.964000
SB_Start_Beep	234618.122923	3_6_6	234.622000	234.618000
SB_Start_Beep	276581.918281	6_3_7	276.586000	276.581500
SB_Start_Beep	313023.740562	3_6_8	313.028000	313.023500
SB_Start_Beep	353341.543941	6_1_9	353.346000	353.341500
SB_Start_Beep	386249.383463	1_6_10	386.254000	386.249000
SB_Start_Beep	422185.208211	6_1_11	422.190000	422.185000
SB_Start_Beep	455531.045590	1_3_12	455.536000	455.531000
SB_Start_Beep	489754.878694	3_1_13	489.760000	489.754500
SB_Start_Beep	523862.712357	1_3_14	523.868000	523.862500
SB_Start_Beep	561174.530395	3_6_15	561.180000	561.174500
SB_Start_Beep	596612.357579	6_3_16	596.618000	596.612000
SB_Start_Beep	631792.186014	3_1_17	631.798000	631.792000
SB_Start_Beep	667328.012713	1_6_18	667.334000	667.328000
SB_Start_Beep	702121.843038	6_6_19	702.128000	702.121500
SB_Start_Beep	736725.674282	6_3_20	736.732000	736.725500
SB_Start_Beep	781249.457155	3_1_21	781.256000	781.249000
SB_Start_Beep	817245.281611	1_3_22	817.252000	817.245000
SB_Start_Beep	853343.105570	3_1_23	853.350000	853.343000
SB_Start_Beep	886968.941590	1_6_24	886.976000	886.968500
SB_Start_Beep	924042.760789	6_1_25	924.050000	924.042500
SB_Start_Beep	1034166.223746	1_3_26	1034.174000	1034.166000
SB_Start_Beep	1073690.030996	3_6_27	1073.698000	1073.690000
SB_Start_Beep	1107981.863769	6_1_28	1107.990000	1107.981500
SB_Start_Beep	1142631.694789	1_6_29	1142.640000	1142.631500
SB_Start_Beep	1178389.520405	6_3_30	1178.398000	1178.389500
SB_Start_Beep	1211675.358084	3_6_31	1211.684000	1211.675000
SB_Start_Beep	1251239.165139	6_1_32	1251.248000	1251.239000
SB_Start_Beep	1284869.001133	1_3_33	1284.878000	1284.869000
SB_Start_Beep	1319118.834111	3_3_34	1319.128000	1319.118500
SB_Start_Beep	1354606.661044	3_6_35	1354.616000	1354.606500
SB_Start_Beep	1387260.501798	6_1_36	1387.270000	1387.260500
SB_Start_Beep	1422140.331703	1_3_37	1422.150000	1422.140000
SB_Start_Beep	1458916.152355	3_6_38	1458.926000	1458.916000
SB_Start_Beep	1492955.986356	6_1_39	1492.966000	1492.955500
SB_Start_Beep	1526729.821648	1_1_40	1526.740000	1526.729500
SB_Start_Beep	1564875.635619	1_3_41	1564.886000	1564.875500
SB_Start_Beep	1598339.472430	3_6_42	1598.350000	1598.339000
SB_Start_Beep	1635083.293237	6_6_43	1635.094000	1635.083000
SB_Start_Beep	1668411.130704	6_3_44	1668.422000	1668.411000
SB_Start_Beep	1704828.953109	3_1_45	1704.840000	1704.828500
